city,county
Quatt,Shropshire
Bernisdale,Highland
Brocklesby,Lincolnshire
Whitchurch,Devon
Collin,Dumfries and Galloway
Orlingbury,Northamptonshire
Talmine,Highland
Crickadarn,Powys
Tibberton,Telford and Wrekin
Kilmington,Wiltshire
Balnamore,Causeway Coast and Glens
Scrivelsby,Lincolnshire
Blaydon,Gateshead
Rothwell,Lincolnshire
Scollogstown,"Newry, Mourne and Down"
Watten,Highland
Bar Hill,Cambridgeshire
Tillingham,Essex
Moulton,Suffolk
Bellingham,Northumberland
Edwalton,Nottinghamshire
Bicton,Shropshire
Llangattock nigh Usk,Monmouthshire
Foulsham,Norfolk
Blainslie,"Scottish Borders, The"
Cunningburn,Ards and North Down
Latheron,Highland
Luston,Herefordshire
Bruichladdich,Argyll and Bute
Lingdale,Redcar and Cleveland
Badsworth,Wakefield
Carsaig,Argyll and Bute
Sutterton,Lincolnshire
Strathan,Argyll and Bute
Pipers Cross Roads,Lisburn and Castlereagh
Standish,Gloucestershire
Brawl,Highland
Bwlch,Powys
Shottermill,West Sussex
Thorpe le Soken,Essex
Fforest,Carmarthenshire
Llanllechid,Gwynedd
Auchengray,South Lanarkshire
Frampton,Dorset
Meesden,Hertfordshire
Colsterworth,Lincolnshire
Denchworth,Oxfordshire
Farlam,Cumbria
Llanwarne,Herefordshire
Darwen,Blackburn with Darwen
Newton,Northamptonshire
Lydiard Tregoze,Swindon
Consett,Durham
Gordonstown,Aberdeenshire
Mockerkin,Cumbria
Linton,Herefordshire
Great Mongeham,Kent
Llanwnda,Gwynedd
Dalton,Northumberland
Gargrave,North Yorkshire
Theddingworth,Leicestershire
Ilam,Staffordshire
Swatragh,Mid Ulster
Kilmarie,Highland
Darley Abbey,Derbyshire
Great Cubley,Derbyshire
Broad Blunsdon,Swindon
High Keil,Argyll and Bute
Llannerch-y-mor,Flintshire
Earls Croome,Worcestershire
Oldham,Oldham
Castle Donnington,Leicestershire
Lower Boscaswell,Cornwall
Borth,Ceredigion
Petworth,West Sussex
Keevil,Wiltshire
Lympsham,Somerset
Rinaston,Pembrokeshire
Newbold on Stour,Warwickshire
Lockleywood,Shropshire
Wooburn,Buckinghamshire
Velindre,Carmarthenshire
North Berwick,East Lothian
Romford,Havering
Arlecdon,Cumbria
Bishop Monkton,North Yorkshire
Staunton,Gloucestershire
Weldon,Northamptonshire
Croxdale,Durham
Senghenydd,Caerphilly
Montacute,Somerset
Llanfihangel-Glyn-Myfyr,Conwy
Peterborough,Peterborough
Nantyglo,Blaenau Gwent
Saltash,Cornwall
Cranford,Hounslow
Ardovie,Angus
Broomholm,Dumfries and Galloway
Lyonshall,Herefordshire
Hetton,North Yorkshire
Urmston,Trafford
Carrington,Midlothian
New Aberdour,Aberdeenshire
Bishopstone,Kent
Strathblane,Stirling
Turnchapel,Plymouth
Denver,Norfolk
Lawrenny,Pembrokeshire
Cottam,Nottinghamshire
Isle of Whithorn,Dumfries and Galloway
Woodhurst,Cambridgeshire
Llanerfyl,Powys
Lymm,Cheshire East
Sunderland Bridge,Durham
Hurlford,East Ayrshire
Combe Florey,Somerset
Pont Hirwaun,Ceredigion
Royal Wootton Bassett,Wiltshire
Hargrave,Northamptonshire
Moore,Halton
Corris,Powys
Bulkington,Warwickshire
Achmelvich,Highland
Walkerburn,"Scottish Borders, The"
Haceby,Lincolnshire
Hawksworth,Nottinghamshire
Wragby,Lincolnshire
Britford,Wiltshire
Salperton,Gloucestershire
Little Kimble,Buckinghamshire
Errogie,Highland
Pudsey,Leeds
Oughtibridge,Sheffield
Ord,Highland
Guyzance,Northumberland
Llanddarog,Carmarthenshire
Shipdham,Norfolk
Arnol,Eilean Siar
Malden,Kingston upon Thames
Bispham,Blackpool
Saltfleetby All Saints,Lincolnshire
Culmore,Derry and Strabane
Mottisfont,Hampshire
Epping,Essex
Bothel,Cumbria
Dishforth,North Yorkshire
Rock,Northumberland
Thursford,Norfolk
Navidale,Highland
Woore,Shropshire
Laxton,East Riding of Yorkshire
Isham,Northamptonshire
Wistow,North Yorkshire
Duns Tew,Oxfordshire
Ash,Shropshire
Boddicott,Oxfordshire
Flamborough,East Riding of Yorkshire
Winterbourne,West Berkshire
Kingswood,South Gloucestershire
Fenwick,Doncaster
Cwmffrwd,Carmarthenshire
Blakeney,Gloucestershire
Dyrham,South Gloucestershire
Little Burstead,Essex
Eye,Suffolk
Eardisley,Herefordshire
Weston in Gordano,North Somerset
Prudhoe,Northumberland
Churchill,North Somerset
Thurlby,Lincolnshire
Foulden,"Scottish Borders, The"
Loans,South Ayrshire
Silian,Ceredigion
Plympton,Plymouth
Ashburnham,East Sussex
Gilcrux,Cumbria
Callaly,Northumberland
Breasclete,Eilean Siar
Coillore,Highland
Blaengwynfi,Neath Port Talbot
Buckland,Buckinghamshire
East Parley,Dorset
Lea Marston,Warwickshire
Frome Saint Quinton,Dorset
Eltham,Greenwich
Selby,North Yorkshire
South Petherton,Somerset
Wroxton,Oxfordshire
Longwick,Buckinghamshire
Down Hatherley,Gloucestershire
East Barnet,Barnet
Barnstone,Nottinghamshire
Formby,Sefton
Chapel Brampton,Northamptonshire
Goodmayes,Redbridge
Albrighton,Shropshire
Willingham,Lincolnshire
Gwalchmai,Isle of Anglesey
Rampisham,Dorset
Maryculter,Aberdeenshire
Wick,"Vale of Glamorgan, The"
Wormleighton,Warwickshire
Longbridge,Birmingham
Berkswell,Solihull
Balmore,Highland
Catton,Northumberland
Great Dunham,Norfolk
Looe,Cornwall
Pinchbeck,Lincolnshire
Saint Minver,Cornwall
Upper Elkstone,Staffordshire
Bentley,Suffolk
Port Erroll,Aberdeenshire
Llanfaelog,Isle of Anglesey
Twyford,Wokingham
Honley,Kirklees
Fishbourne,West Sussex
Sampford Arundel,Somerset
Fiunary,Highland
Edmondbyers,Durham
Congresbury,North Somerset
Ruthven,Angus
Halberton,Devon
Hinton,South Gloucestershire
Saint Osyth,Essex
Scoulton,Norfolk
Latimer,Buckinghamshire
Swilland,Suffolk
Grimsby,North East Lincolnshire
Cleland,North Lanarkshire
Hurst,Wokingham
Rolleston,Staffordshire
Severn Stoke,Worcestershire
Blunham,Central Bedfordshire
Willersley,Herefordshire
Wolston,Warwickshire
Turriff,Aberdeenshire
Misson,Nottinghamshire
Bondville,"Armagh, Banbridge and Craigavon"
Blidworth,Nottinghamshire
Alderton,Gloucestershire
Broadmayne,Dorset
Orleton,Herefordshire
Filby,Norfolk
Priddy,Somerset
Elmton,Derbyshire
Seacroft,Leeds
Dinas Powys,"Vale of Glamorgan, The"
Whatlington,East Sussex
Rotherfield,East Sussex
Porthallow,Cornwall
Caheny,Causeway Coast and Glens
Maenclochog,Pembrokeshire
Stanford,Kent
Wickwar,South Gloucestershire
Baildon,Bradford
Wibsey,Bradford
Skerries,"Armagh, Banbridge and Craigavon"
North Wraxall,Wiltshire
Old Dalby,Leicestershire
Larling,Norfolk
West Coker,Somerset
Coulags,Highland
Craigs Upper,Causeway Coast and Glens
Studham,Central Bedfordshire
Bridge,Kent
Normanton,Wakefield
Horton in Ribblesdale,North Yorkshire
Kirkcowan,Dumfries and Galloway
Alloa,Clackmannanshire
Bossall,North Yorkshire
Rhydymwyn,Flintshire
Angmering,West Sussex
Slaggan,Highland
Newcastle under Lyme,Staffordshire
Saint Marylebone,Westminster
Nether Stowey,Somerset
Duloe,Cornwall
Ullesthorpe,Leicestershire
Ifton Heath,Shropshire
Long Crichel,Dorset
Warrington,Milton Keynes
Boughton,Nottinghamshire
Great Rowsley,Derbyshire
Themelthorpe,Norfolk
Stretford,Herefordshire
Pennymoor,Devon
Dervaig,Argyll and Bute
Amcotts,North Lincolnshire
Carron,Moray
Hayscastle,Pembrokeshire
Grafham,Cambridgeshire
Scalehouses,Cumbria
Great Horwood,Buckinghamshire
Wimborne Saint Giles,Dorset
Altandhu,Highland
Brandesburton,East Riding of Yorkshire
Mynyddislwyn,Caerphilly
Ashley,Staffordshire
Stoke Saint Gregory,Somerset
Upper Helmsley,North Yorkshire
Auchinleck,East Ayrshire
Wambrook,Somerset
Capel,Surrey
Northaw,Hertfordshire
Altmover,Causeway Coast and Glens
Alvie,Highland
Tiers Cross,Pembrokeshire
Magheralane,Antrim and Newtownabbey
Wetwang,East Riding of Yorkshire
Salcombe Regis,Devon
Woodbridge,Suffolk
Fort George,Highland
Ballynameen,Causeway Coast and Glens
Skirbeck Quarter,Lincolnshire
Kew Bridge,Hounslow
Ravenstonedale,Cumbria
Airth,Falkirk
Ellingham,Hampshire
Longford,Coventry
Leedstown,Cornwall
Birkhall,Aberdeenshire
Arncliffe,North Yorkshire
Langham,Rutland
Holme,Cambridgeshire
Barton le Willows,North Yorkshire
Blakesley,Northamptonshire
Staple,Kent
Crank,St. Helens
Irby upon Humber,North East Lincolnshire
West Orchard,Dorset
Vaul,Argyll and Bute
Old Buckenham,Norfolk
Longhorsley,Northumberland
Kirkstead,Lincolnshire
Bicknoller,Somerset
Saint Devereux,Herefordshire
Shedfield,Hampshire
Grafton Underwood,Northamptonshire
Herringswell,Suffolk
Crossburn,Highland
Staincross,Barnsley
Coalburn,South Lanarkshire
Greet,Shropshire
Great Milton,Oxfordshire
Cynghordy,Carmarthenshire
Kirton,Suffolk
Kintradwell,Highland
Claonairi,Argyll and Bute
Llanllowell,Monmouthshire
Llanwinio,Carmarthenshire
Denton,Lincolnshire
Dunster,Somerset
Wester Rarichie,Highland
Sinderby,North Yorkshire
North Molton,Devon
Hadlow Down,East Sussex
Whippingham,Isle of Wight
Porthcawl,Bridgend
Churchdown,Gloucestershire
Wighton,Norfolk
Heather,Leicestershire
Watnall Chaworth,Nottinghamshire
Hellifield,North Yorkshire
Hooke,Dorset
Llanddwywe,Gwynedd
Topsham,Devon
Stotfold,Hertfordshire
Badcall,Highland
North Acton,Ealing
Kings Nympton,Devon
Castleton,"Scottish Borders, The"
Tamworth,Staffordshire
Glastry,Ards and North Down
Stonefort,Fermanagh and Omagh
Llanfor,Gwynedd
Berwick Hill,Northumberland
Saint Cleer,Cornwall
Madehurst,West Sussex
Walkerith,Lincolnshire
Barkisland,Calderdale
Cound,Shropshire
Quarley,Hampshire
Meavy,Devon
Llanasa,Flintshire
Charlton,Wiltshire
Chapel of Garioch,Aberdeenshire
Hinton Ampner,Hampshire
Scarrington,Nottinghamshire
Thorne,Doncaster
Wendlebury,Oxfordshire
Cynheidre,Carmarthenshire
Welland,Worcestershire
Yarcombe,Devon
Rosslea,Fermanagh and Omagh
Monikie,Angus
Walmer,Kent
Wychnor,Staffordshire
Kington Langley,Wiltshire
Kishorn,Highland
Portsmouth,Portsmouth
Craigdarroch,Dumfries and Galloway
Reepham,Lincolnshire
Ffynnon-ddrain,Carmarthenshire
Isleham,Cambridgeshire
Ardchonnell,Argyll and Bute
Bryn,Wigan
Woolhope,Herefordshire
Leckhampstead,Buckinghamshire
Kepwick,North Yorkshire
Remenham,Wokingham
Midsomer Norton,Bath and North East Somerset
Ewenny,"Vale of Glamorgan, The"
Pulham Saint Mary the Virgin,Norfolk
Welbourn,Lincolnshire
Syderstone,Norfolk
Highway,Wiltshire
Glen Barry,Aberdeenshire
Cherington,Warwickshire
Meifod,Powys
Wykeham,North Yorkshire
Lowestoft,Suffolk
Thurgarton,Norfolk
Llangerniew,Conwy
North Ockendon,Havering
Cromwell,Nottinghamshire
Chesil,Dorset
Llangammarch Wells,Powys
Twyford,Leicestershire
Cracoe,North Yorkshire
Bourton,Shropshire
Sydenham Damerel,Devon
Chadwell,Leicestershire
Faulkbourne,Essex
Monington,Pembrokeshire
Felmingham,Norfolk
Westbury on Severn,Gloucestershire
Rattery,Devon
Stakenbridge,Worcestershire
Lea,Herefordshire
Nenthead,Cumbria
Paulton,Bath and North East Somerset
Billingborough,Lincolnshire
Green Hammerton,North Yorkshire
East Hagbourne,Oxfordshire
Achagate,Highland
Kingston near Lewes,East Sussex
Gargunnock,Stirling
Hayscastle Cross,Pembrokeshire
Upper Poppleton,York
Bunwell,Norfolk
Kames,Argyll and Bute
Cowthorpe,North Yorkshire
Panshanger,Hertfordshire
Warden,Kent
Westbury,Oxfordshire
Kilraghts,Causeway Coast and Glens
West Tilbury,Thurrock
Badenyon,Aberdeenshire
Swanmore,Hampshire
Aller,Somerset
Moira,"Armagh, Banbridge and Craigavon"
Mickleby,North Yorkshire
Larkhall,South Lanarkshire
Salcott,Essex
West Boldon,South Tyneside
Salachadh,Highland
Somersham,Cambridgeshire
Curr,Fermanagh and Omagh
Alkborough,North Lincolnshire
Micklefield,Leeds
Saint Germains,East Lothian
Micheldever,Hampshire
Finstown,Orkney Islands
New Milton,Hampshire
Bellway,Derry and Strabane
Llysfaen,Conwy
Flinton,East Riding of Yorkshire
Drumpark,Dumfries and Galloway
Weeton,Lancashire
Wiggenhall Saint Peter,Norfolk
Germansweek,Devon
Jacobstowe,Devon
Scropton,Staffordshire
Bexhill,East Sussex
Crowmarsh Gifford,Oxfordshire
Marston Magna,Somerset
Brough,North Lincolnshire
Glenshee,Perth and Kinross
Draycot Foliat,Swindon
Tregroes,Ceredigion
Horndean,Hampshire
Sheen,Staffordshire
Nettleton,Wiltshire
East Rudham,Norfolk
Sole Street,Kent
Barrow upon Soar,Leicestershire
Sutton Benger,Wiltshire
Holt,Wrexham
Gayton,Northamptonshire
Harlech,Gwynedd
Snodland,Kent
Crowcombe,Somerset
Templemoyle,Derry and Strabane
Richmond,Richmond upon Thames
North Newbald,East Riding of Yorkshire
Tarves,Aberdeenshire
Long Stow,Cambridgeshire
Chiddingfold,Surrey
North Owersby,Lincolnshire
Bishton,Newport
Oving,West Sussex
Ballymaconnelly,Causeway Coast and Glens
Ramsbottom,Bury
Hengoed,Caerphilly
Stolford,Somerset
Beverston,Gloucestershire
Birdwell,Barnsley
Embsay,North Yorkshire
Mousehole,Cornwall
Westgate on Sea,Kent
Burton upon Stather,North Lincolnshire
Fingland,Cumbria
Coombe Hill,Gloucestershire
Biel,East Lothian
Forrabury,Cornwall
Kentmere,Cumbria
Riseley,Bedford
Pentyrch,Cardiff
Lunan,Angus
West Monkton,Somerset
Chipstead,Surrey
Weem,Perth and Kinross
Tassagh,"Armagh, Banbridge and Craigavon"
Brigsteer,Cumbria
Long Stanton,Cambridgeshire
Sudborough,Northamptonshire
Parham,Suffolk
Auchnacraig,Argyll and Bute
East Linton,East Lothian
Dinas,Carmarthenshire
Ingham,Lincolnshire
Horam,East Sussex
South Leverton,Nottinghamshire
Lower Stonnall,Staffordshire
Lingwood,Norfolk
Quoyness,Orkney Islands
Swarkeston,Derbyshire
Great Kimble,Buckinghamshire
Seabrook,Kent
Camberley,Surrey
Chelsfield,Bromley
Kedleston,Derbyshire
Aust,South Gloucestershire
Creed,Cornwall
Wanstrow,Somerset
Vernham Dean,Hampshire
Bransford,Worcestershire
Keld Houses,North Yorkshire
Baddiley,Cheshire East
Knaith,Lincolnshire
Fairlie,North Ayrshire
Holme,Cumbria
Duirinish,Highland
Coul,Highland
Framlingham,Suffolk
Lenton,Lincolnshire
Hardingham,Norfolk
Cockenzie,East Lothian
Great Gaddesden,Hertfordshire
Tredington,Gloucestershire
Farnham,Surrey
Allestree,Derby
East Boldon,South Tyneside
Burstwick,East Riding of Yorkshire
Ringford,Dumfries and Galloway
Great Ouseburn,North Yorkshire
Aston,Shropshire
Great Easton,Leicestershire
Crambe,North Yorkshire
Llandrinio,Powys
Worminghall,Buckinghamshire
Rushton,Northamptonshire
Thorpe Waterville,Northamptonshire
Little Petherick,Cornwall
Pandy,Gwynedd
Kerrysdale,Highland
Shrewsbury,Shropshire
Sturgate,Lincolnshire
Inverallochy,Aberdeenshire
South Stoke,Oxfordshire
Broughton,Northamptonshire
Pennard,Swansea
Brockworth,Gloucestershire
Titsey,Surrey
Bromley Cross,Bolton
Saddleworth,Oldham
Chicksands,Central Bedfordshire
Abinger,Surrey
Sherburn,Durham
Knutsford,Cheshire East
Llangollen,Denbighshire
Pyrton,Oxfordshire
Sheriff Hill,Gateshead
Pettycur,Fife
Porthgain,Pembrokeshire
Derry,Derry and Strabane
Bawdeswell,Norfolk
Deddington,Oxfordshire
Ammanford,Carmarthenshire
Bishopsteignton,Devon
Smailholm,"Scottish Borders, The"
Richborough,Kent
Carrowdore,Ards and North Down
Princetown,Devon
Salford Priors,Warwickshire
Ashton,Northamptonshire
Arisaig,Highland
Hogganfield,Glasgow City
Alverthorpe,Wakefield
Langsett,Barnsley
Hannah,Lincolnshire
Haddon,Cambridgeshire
Templeton,Pembrokeshire
Coleorton,Leicestershire
Sandown,Isle of Wight
Billingshurst,West Sussex
Glen Parva,Leicestershire
Longworth,Oxfordshire
Donaghmore,Mid Ulster
Wokingham,Wokingham
Johnstone,Renfrewshire
Saline,Fife
Llangwm,Pembrokeshire
Ogmore Vale,Bridgend
Trevor,Gwynedd
Downholme,North Yorkshire
Ibstone,Buckinghamshire
Kirkwall,Orkney Islands
Birsay,Orkney Islands
Swardeston,Norfolk
Castleton,Newport
Acton,"Armagh, Banbridge and Craigavon"
Rhydywrach,Carmarthenshire
Overscaig,Highland
Halstead,Kent
Hopton,Suffolk
Heythrop,Oxfordshire
Portskerra,Highland
Northorpe,Lincolnshire
Desertmartin,Mid Ulster
Llanwrda,Carmarthenshire
Bridgnorth,Shropshire
Brockdish,Suffolk
Cuminestown,Aberdeenshire
Hackington,Kent
Milnthorpe,Cumbria
Meppershall,Central Bedfordshire
Kidsgrove,Staffordshire
Woodside,Perth and Kinross
Little Hampden,Buckinghamshire
Hockering,Norfolk
Llwyn-y-brain,Carmarthenshire
Cargill,Perth and Kinross
Glendevon,Perth and Kinross
Lampeter,Ceredigion
Norton juxta Twycross,Leicestershire
Bishops Itchington,Warwickshire
Halston,Shropshire
Broadwell,Gloucestershire
Kilkerran,South Ayrshire
Westhide,Herefordshire
Clachan,Eilean Siar
Margaretting,Essex
Upper Hardres,Kent
Rarichie,Highland
Gartnagrenach,Argyll and Bute
Sidlesham,West Sussex
Sutton upon Derwent,East Riding of Yorkshire
Tetbury,Gloucestershire
Bridport,Dorset
Lugton,East Ayrshire
Stracathro,Angus
Trostrey,Monmouthshire
Tregoney,Cornwall
Arnold,Nottinghamshire
Lochailort,Highland
Salt,Staffordshire
Avonmouth,"Bristol, City of"
Thrapston,Northamptonshire
Paulerspury,Northamptonshire
Armoy,Causeway Coast and Glens
Waxham,Norfolk
Saint Clement,Cornwall
Dungormley,"Newry, Mourne and Down"
Lockington,East Riding of Yorkshire
East Chevington,Northumberland
Slaughterford,Wiltshire
Yeoford,Devon
Rothbury,Northumberland
Lower Beeding,West Sussex
Sutton Wick,Oxfordshire
Warsash,Hampshire
Paddington,Westminster
Stratton-on-the-Fosse,Somerset
Lower Shader,Eilean Siar
Saint Neot,Cornwall
Brassington,Derbyshire
Steeple Morden,Cambridgeshire
Ford,Argyll and Bute
Preston,Rutland
Luddesdown,Kent
Galashiels,"Scottish Borders, The"
Brighstone,Isle of Wight
Innerwick,Perth and Kinross
Maulds Meaburn,Cumbria
Wotton Underwood,Buckinghamshire
Clunie,Perth and Kinross
Enderby,Leicestershire
Winwick,Warrington
Chesters,Northumberland
Walpole,Suffolk
Astle,Highland
Inchinnan,Renfrewshire
Broxbourne,Essex
Llanvihangel Crucorney,Monmouthshire
Southwaite,Cumbria
Carnach,Highland
Popham,Hampshire
Tumble,Carmarthenshire
North Sunderland,Northumberland
Bucknall,Lincolnshire
Tyldesley,Wigan
Stratton,Cornwall
Atherton,Wigan
Kircubbin,Ards and North Down
Cwmparc,Rhondda Cynon Taff
Church Lench,Worcestershire
Clyst Saint Lawrence,Devon
Mouldsworth,Cheshire West and Chester
Cheveley,Cambridgeshire
Hempstead,Essex
Chilton Foliat,West Berkshire
Cotgrave,Nottinghamshire
Madderty,Perth and Kinross
Durham,Durham
Maidstone,Kent
Alrick,Angus
Kearsney,Kent
The Diamond,"Armagh, Banbridge and Craigavon"
Loveston,Pembrokeshire
Foulford,Perth and Kinross
High Heaton,Newcastle upon Tyne
Dodington,Somerset
Renton,West Dunbartonshire
Saint Maughans,Monmouthshire
Stanford in the Vale,Oxfordshire
Stocking Pelham,Hertfordshire
Lea,Wiltshire
Gaswater,East Ayrshire
Kingsnorth,Medway
Wendy,Cambridgeshire
Langthwaite,North Yorkshire
Chickney,Essex
Carnbee,Fife
Rousdon,Devon
Kilkhampton,Cornwall
Rayleigh,Essex
Urchany,Highland
Diabaig,Highland
Old Byland,North Yorkshire
Barton,North Yorkshire
Wylde Green,Birmingham
Newbyth,Aberdeenshire
Honington,Warwickshire
Wistow,Cambridgeshire
Beragh,Fermanagh and Omagh
Aikton,Cumbria
Magherafelt,Mid Ulster
Pontycymer,Bridgend
Dawley,Telford and Wrekin
Ebrington,Gloucestershire
Fenton,Lincolnshire
Mucklestone,Staffordshire
Shelley,Kirklees
Barr,South Ayrshire
Killeter,Derry and Strabane
Great Barford,Bedford
Castle Eden,Durham
Treforest,Rhondda Cynon Taff
Penpont,Dumfries and Galloway
Burravoe,Shetland Islands
Spittal,Northumberland
Shalbourne,Wiltshire
Marbury,Cheshire East
Benniworth,Lincolnshire
Barnby Moor,Nottinghamshire
Baranailt,Causeway Coast and Glens
Redgrave,Suffolk
Long Melford,Suffolk
Pensford,Bath and North East Somerset
Hole,Angus
Bentpath,Dumfries and Galloway
Spittal of Glenshee,Perth and Kinross
Edingale,Staffordshire
Hammoon,Dorset
South Acre,Norfolk
Marshwood,Dorset
Oadby,Leicestershire
South Cornelly,Bridgend
Pontywaun,Caerphilly
Drynoch,Highland
Aboyne,Aberdeenshire
Lerags,Argyll and Bute
Hopwood,Worcestershire
Port of Ness,Eilean Siar
Warmington,Northamptonshire
West Stow,Suffolk
Lulworth Camp,Dorset
Kilmun,Argyll and Bute
Portrush,Causeway Coast and Glens
Tigharry,Eilean Siar
Steppingley,Central Bedfordshire
Kirby Cross,Essex
Quendon,Essex
West Heslerton,North Yorkshire
Rous Lench,Worcestershire
Santon Bridge,Cumbria
Hadfield,Derbyshire
Hopton on Sea,Norfolk
Hunwick,Durham
Diseworth,Leicestershire
Hadstock,Essex
Holt,Worcestershire
Skerne,East Riding of Yorkshire
Kimbolton,Herefordshire
Glazebury,Warrington
Horsehay,Telford and Wrekin
Yalding,Kent
Dundonald,South Ayrshire
Bishops Cannings,Wiltshire
Newbourn,Suffolk
Skidby,East Riding of Yorkshire
Scardans,Fermanagh and Omagh
Beechamwell,Norfolk
Burton Pidsea,East Riding of Yorkshire
Great Somerford,Wiltshire
Ibstock,Leicestershire
Eccleston,Cheshire West and Chester
Llangurig,Powys
Turville,Buckinghamshire
Streatley,Central Bedfordshire
Aber,Gwynedd
Knipton,Leicestershire
North Walsham,Norfolk
Hughenden,Buckinghamshire
Freston,Suffolk
Bignor,West Sussex
Kirkby Mallory,Leicestershire
Cwmann,Carmarthenshire
Little Dodford,Worcestershire
Breadsall,Derby
Malmesbury,Wiltshire
Minffordd,Gwynedd
Llanddewi Velfrey,Pembrokeshire
Winford,North Somerset
Bacton,Suffolk
Motcombe,Dorset
Hardwick,Cambridgeshire
Bradwell on Sea,Essex
North Cheriton,Somerset
Cullompton,Devon
Caldbergh,North Yorkshire
Harome,North Yorkshire
Idbury,Oxfordshire
Althorpe,North Lincolnshire
Greinton,Somerset
Upper Camster,Highland
Dymock,Gloucestershire
Pattiswick,Essex
Bleddfa,Powys
Nuthurst,West Sussex
West Wickham,Bromley
Weston Point,Halton
Newtown Saville,Fermanagh and Omagh
Stewartfield,Perth and Kinross
Drummore,Dumfries and Galloway
Milton Keynes,Milton Keynes
Dundry,North Somerset
Auldgirth,Dumfries and Galloway
Alsager,Cheshire East
Bishopton,Darlington
Liss,Hampshire
Langham,Norfolk
Copt Hewick,North Yorkshire
Newlyn,Cornwall
Skipness,Argyll and Bute
Preston Gubbals,Shropshire
Carleton,North Yorkshire
Nancekuke,Cornwall
Eynsham,Oxfordshire
Llannefydd,Conwy
Upper Diabaig,Highland
Talerddig,Powys
Nether Whitacre,Warwickshire
Talisker,Highland
Felton,Northumberland
Llanfihangel-Ystrad,Ceredigion
Hartfield,East Sussex
Upper Bracky,Fermanagh and Omagh
Mundford,Norfolk
Little Dunmow,Essex
North Kessock,Highland
Swaffham,Norfolk
Thurning,Northamptonshire
Ruthven,Highland
Murroes,Angus
Irlam,Salford
Slimbridge,Gloucestershire
Carnagh,"Armagh, Banbridge and Craigavon"
Salisbury,Wiltshire
Norton Bridge,Staffordshire
Hawkridge,Somerset
Ovingdean,Brighton and Hove
Stirling,Stirling
Barkway,Hertfordshire
Somerby,Lincolnshire
Pitney,Somerset
Marston,Wiltshire
Newbattle,Midlothian
Willstone,Shropshire
Henry's Moat,Pembrokeshire
Medstead,Hampshire
Wimblington,Cambridgeshire
Stanford on Teme,Worcestershire
Par,Cornwall
Dacre,Cumbria
Wadhurst,East Sussex
Old Sarum,Wiltshire
Ludgvan,Cornwall
Blisland,Cornwall
Sconser,Highland
Riverside,"Newry, Mourne and Down"
Funtington,West Sussex
Tewin,Hertfordshire
Bramley,Hampshire
Buckland,Oxfordshire
Usan,Angus
Strabane,Derry and Strabane
The Hyde,Barnet
Applegarth Town,Dumfries and Galloway
Whalley,Lancashire
Stretton,Warrington
Coundon,Durham
Inverey,Aberdeenshire
Worsbrough Bridge,Barnsley
Odiham,Hampshire
Aston,Oxfordshire
Balbeggie,Perth and Kinross
Dean,Cumbria
Lothbeg,Highland
Bramfield,Suffolk
Stourbridge,Dudley
Authorpe,Lincolnshire
Battersby,North Yorkshire
Saint Nicholas,"Vale of Glamorgan, The"
Bishop Middleham,Durham
Newsham,Northumberland
Totley,Derbyshire
Cherry Hinton,Cambridgeshire
Bathampton,Bath and North East Somerset
Slades Green,Bexley
Brockley Green,Suffolk
Thrybergh,Rotherham
Canley,Coventry
Offord D'Arcy,Cambridgeshire
Belstead,Suffolk
Rosneath,Argyll and Bute
Alderwasley,Derbyshire
Hallatrow,Bath and North East Somerset
Saint Abbs,"Scottish Borders, The"
Garton,East Riding of Yorkshire
Eydon,Northamptonshire
Bearsted,Kent
Tandridge,Surrey
Dronley,Angus
Barlaston,Staffordshire
Kirriemuir,Angus
Ashkirk,"Scottish Borders, The"
Bugbrooke,Northamptonshire
Chop Gate,North Yorkshire
Millom,Cumbria
Ayr,South Ayrshire
Ballycloghan,Mid and East Antrim
Nash,Buckinghamshire
Saint Margaret,Suffolk
Llanidloes,Powys
Dall,Perth and Kinross
Edmondsham,Dorset
North Lopham,Norfolk
Upavon,Wiltshire
Galgorm,Mid and East Antrim
Hurstbourne Tarrant,Hampshire
Thimbleby,Lincolnshire
Maidford,Northamptonshire
Llanfair-Dyffryn-Clwyd,Denbighshire
Dunball,Somerset
Youlgreave,Derbyshire
Caldbeck,Cumbria
Sollom,Lancashire
Long Houghton,Northumberland
Uplawmoor,East Renfrewshire
Eaglesham,East Renfrewshire
Spratton,Northamptonshire
Achnahanat,Highland
North Carlton,Lincolnshire
Llanddeiniol,Ceredigion
Aldborough,North Yorkshire
Letheringsett,Norfolk
Batheaston,Bath and North East Somerset
Freckleton,Lancashire
Little Ouseburn,North Yorkshire
Euston,Suffolk
Erith,Bexley
Tarrant Monkton,Dorset
Rattray,Perth and Kinross
Hemerdon,Devon
Settrington,North Yorkshire
Scruton,North Yorkshire
Llanhamlach,Powys
Weaverthorpe,North Yorkshire
Mennock,Dumfries and Galloway
Buckhaven,Fife
Inverness,Highland
Meltham,Kirklees
Lillington,Dorset
Ballymacarret,Belfast
Eden,Mid and East Antrim
Leigh,Worcestershire
Twickenham,Richmond upon Thames
Aberlemno,Angus
Tornahaish,Aberdeenshire
Eaton Socon,Cambridgeshire
Rednal,Shropshire
Hardingstone,Northamptonshire
Llandow,"Vale of Glamorgan, The"
Coton,Shropshire
